subcategory	class	cat
Respondent		
National Park	Place	
No Liability Company	Corporate Body	
Native Title Applicant	People	
Applicant	People	
Research Agreement	Agreement	Australia
Territory Government	Corporate Body	
Joint Venture Agreement	Agreement	Australia
Representative Body	Corporate Body	
Convention	Event	
Treaty (International)	Agreement	International
Declaration	Event	
Deed of Settlement (New Zealand)	Agreement	New Zealand
Government	Corporate Body	
Regional Agreement	Agreement	Australia
Native Title Representative Body (NTRB)	Corporate Body	
First Nations People of Canada	People	
Party to an Indigenous Land Use Agreement		
Canadian Aboriginal Government	Corporate Body	
Land Governance Agreement (Canada)	Agreement	Canada
Prescribed Body Corporate (PBC)	Corporate Body	
Sole Trader	People	
Incorporated Association	Corporate Body	
Agreement in Principle / Heads of Agreement (New Zealand)	Agreement	New Zealand
Governance Entity (New Zealand)	Corporate Body	
Comprehensive Land Claims Agreement (Canada)	Agreement	Canada
Specific Claims Agreement (Canada)	Agreement	Canada
Framework Agreement (Canada)	Agreement	Canada
Agreement-in-Principle (AIP) (Canada)	Agreement	Canada
Interim Measures Agreement (Canada)	Agreement	Canada
Treaty (Canada)	Agreement	Canada
Overlap/Boundary Agreement (Canada)	Agreement	Canada
Maori People	People	
Aboriginal Lands Trust (Western Australia)	Corporate Body	
Aboriginal Lands Trust (South Australia)	Corporate Body	
Non-Government Organisation (NGO)	Corporate Body	
Shared Responsibility Agreement (SRA)	Agreement	Australia
Aboriginal Community Controlled Health Organisation (ACCHO)	Corporate Body	
Political Accord (Canada)	Agreement	Canada
Aboriginal and Torres Strait Islander	People	
Indigenous Coordination Centre (ICC)	Corporate Body	
Charitable Trust	Corporate Body	
Torres Strait Islander Land Trust (Queensland)	Corporate Body	
Aboriginal Land Trust (Queensland)	Corporate Body	
Company Limited by Guarantee	Corporate Body	
Litigated Determination		
Consent Determination (Native Title Act)	Agreement	Australia
Future Act Agreement (Native Title Act)	Agreement	Australia
Indigenous Land Use Agreement (ILUA) (Native Title Act)	Agreement	Australia
Case Law	Case Law	
Legislation	Legislation	
Interim Agreement	Agreement	Australia
Memorandum of Understanding	Agreement	Australia
Indigenous Partnership	Agreement	Australia
Land Transfer Agreement	Agreement	Australia
Public Company	Corporate Body	
Native Title Holders (Native Title Act)	People	
Traditional Owner Group (Aboriginal Land Rights (Northern Territory) Act)	People	
Local Government	Corporate Body	
Aboriginal Community Council	Corporate Body	
State Government	Corporate Body	
Federal Government	Corporate Body	
Proprietary Company	Corporate Body	
Aboriginal Corporation	Corporate Body	
Native Title Claimants (registered)	People	
Aboriginal Land Trust (Northern Territory)	Corporate Body	
Statutory Body	Corporate Body	
Framework Agreement	Agreement	Australia
Lease	Agreement	Australia
Section 21 Agreement (Native Title Act)	Agreement	Australia
Native Title Claimants (unregistered)	People	
Land Use Agreement	Agreement	Australia
Commercial Agreement	Agreement	Australia
Exploration Agreement (Aboriginal Land Rights (Northern Territory) Act)	Agreement	Australia
Mining Agreement (Aboriginal Land Rights (Northern Territory) Act)	Agreement	Australia
Memorandum of Lease	Agreement	Australia
Exploration Agreement (Native Title Act)	Agreement	Australia
Joint Management Agreement	Agreement	Australia
Template Agreement	Agreement	Australia
Funding Agreement	Agreement	Australia
Report	Event	
Statement of Commitment/Intention	Event	
Policy/Strategy	Policy/Strategy	
Plan of Management	Event	
Research	Event	
Indigenous Protected Area	Place	
Final Agreement (Canada)	Agreement	Canada
Implementation Plan (Canada)	Agreement	Canada
Self-Government Agreement (Canada)	Agreement	Canada
Devolution Agreement (Canada)	Agreement	Canada
Socio-Economic Agreement (Canada)	Agreement	Canada
Environmental Agreement (Canada)	Agreement	Canada
Impact and Benefits Agreement (IBA) (Canada)	Agreement	Canada
Mining Agreement (Canada)	Agreement	Canada
Support Agreement (Canada)	Agreement	Canada
Memorandum of Intent (MOI) (Canada)	Agreement	Canada
Partnership Agreement (Canada)	Agreement	Canada
Participation Agreement (Canada)	Agreement	Canada
Service Delivery Agreement (Canada)	Agreement	Canada
Inuit of Canada	People	
Métis of Canada	People	
Provincial/Territory Government (Canada)	Corporate Body	
Conservation Agreement	Agreement	Australia
Registered Aboriginal Party (Vic)		
Regional Partnership Agreement (RPA) 	Agreement	Australia
Unopposed Determination		
Local Community of South Africa		
Trustee Company		
Party to a Deed of Settlement (New Zealand)		
Land Restitution Agreement (South Africa)	Agreement	South Africa
Joint Venture Agreement (South Africa)	Agreement	South Africa
Policy/Strategy (South Africa)		
Black Economic Empowerment Transaction (South Africa)		
Indigenous Management Agreement (Aboriginal Land Act) (Queensland)		
Traditional Use Marine Resource Agreement (TUMRA)		
		
COAG Agreement		
Aboriginal Community Controlled Health Service Agreement		
Alcohol Management Plan		
Aboriginal Community Controlled Health Organisation Peak Body Agreement		
		
		
Settlement Agreement		
		
		
		
Petitioner/s		
State Party		
Traditional Owner Group		
